address,transaction,timestamp,type,from,to,income,outcome,fee,balance,address_type
0x76373ae643cbe3543875abccdf37185c485a1838,0xd6ae186d75d08172d1968486e0d5cbd2516cdd939cc149a64fda0c0e0058dddc,1621892698,trade,0x76373ae643cbe3543875abccdf37185c485a1838,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,2104.022897604598,2142.0633938679002,36.9892506112,54424.91452549434,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0x9b11228badf23e962b86ba43c6dfb3af70bce31d8dc5d7f13794ce5d591bc5f0,1621892532,execution,0x76373ae643cbe3543875abccdf37185c485a1838,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0.0,0.0,6.6673055488,54417.73138549261,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0xe51321cc4483f044a98a937519b8bea7a989a6c257bf7b943711d50f6b2c5d18,1621892455,authorize,0x76373ae643cbe3543875abccdf37185c485a1838,0x72f020f8f3e8fd9382705723cd26380f8d0c66bb,0.0,0.0,7.64438123176,54414.39944705807,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0xe47b57488951793c9935e277f969ec48884dd4691dcb3621b14a1d1702e92c40,1621892311,trade,0x76373ae643cbe3543875abccdf37185c485a1838,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,4603.228400720863,4618.5825,18.4488882084,54408.1682894662,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0x75e6c96fe6aa27462f2d0388f9a801659a4ba11c031751e2a37b7e4b29df7952,1621388743,trade,0x76373ae643cbe3543875abccdf37185c485a1838,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0.0,3156.3179469300003,66.673685844,54277.52194917747,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0x331abeb54560d91832e63383945bffc39b57ea72fea3f1c689a8310575fe9437,1621114657,receive,0x57db468255865f652bd8735b477a34ffb5b53f4d,0xa5025faba6e70b84f74e9b1113e5f7f4e7f4859f,,0.0,,56365.98902087206,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0x6fcbf06981cdc14adc2d9e505da0e0eecfcb585c83f404dbd533c543b3c553c0,1621040072,send,0x76373ae643cbe3543875abccdf37185c485a1838,0xa4fd05da9535111c508e5a2aeac053569c7d5e3d,0.0,203.26700000000002,12.72044886,57740.07409742934,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0xa3765df0a0990fecf405480f0e01be64b1cb675671c8367972880798b52869e4,1619902361,send,0x76373ae643cbe3543875abccdf37185c485a1838,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,7136.4026314,6.4371954825,55250.942491978436,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0x783a075f713a08926fd0dfabacc61979a8a90217b3a4193d2deaf4e78051a967,1619824099,send,0x76373ae643cbe3543875abccdf37185c485a1838,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,8005.4201920000005,5.207637006000001,59524.019716388546,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0x602ccc27d1ab5a3d98b861f495bbc887e343dc22d10bfca5ed98d98726facbe4,1619823616,send,0x76373ae643cbe3543875abccdf37185c485a1838,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,5988.530016,5.194162584,59279.1526143986,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0x62ce9d404e827935b0eb258ef11d1e665d753188c81873d1f2073ce1bc070512,1619822780,send,0x76373ae643cbe3543875abccdf37185c485a1838,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,5012.606147500001,5.21723185425,58855.32466975348,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0x94bb9996ed1e2836df8928785de0e552f8cd5e7369e887ed409264c55c103cda,1619821755,receive,0xae2d4617c862309a3d75a0ffb358c7a5009c673f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,66398.94100000111,0.0,,58335.67916346011,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0xfa96841ff9bbdbaa868ea76a461d3c1bbd0cdb35665928c5785e81e06002c51f,1619821252,receive,0xae2d4617c862309a3d75a0ffb358c7a5009c673f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,123.23317743449999,0.0,,58080.672636957126,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0xf72abc2ff4b198b420ecc7782de730e74c07d57c2884b33e5e4a4d804776984b,1619820204,send,0x76373ae643cbe3543875abccdf37185c485a1838,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,2507.84858625,5.888280899160001,57549.36679247376,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0x3df0498201f0a214111098f3c86884be4af521604247ec9e380c9f7cbca7cebc,1619819880,send,0x76373ae643cbe3543875abccdf37185c485a1838,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,300.86110005,5.88670131588,57385.1081153625,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0xd18fc8def264fbb44df24002a6cb02d45b942081f0a037151837f17722c58023,1619819281,send,0x76373ae643cbe3543875abccdf37185c485a1838,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,30.103674299999998,6.15939471,57081.43235119691,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0x4f86cdeac2bb88fde8f59c3174218ab2867e23fe167aee2e2dce6efad54456b5,1619750477,send,0x76373ae643cbe3543875abccdf37185c485a1838,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,995.5609685,5.17972864383,22199.78414143242,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0xe0d8387fc5ec6de835ea6b0f8a994a4f3a4f5cc6f9cc562e99f62b0c40124e91,1619743947,receive,0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,0x4e15361fd6b4bb609fa63c81a2be19d873717870,99.28386545352444,0.0,,18889.262037924454,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0x6212521ea077a45de7b67ec952d0ef9153798b2896406b97fdf612ad2525dcfd,1619727385,send,0x76373ae643cbe3543875abccdf37185c485a1838,0x5cbe98480a790554403694b98bff71a525907f5d,0.0,969.81069889725,5.1381088125000005,17340.979559381765,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0x37a3910ec055e593b6d64c0cfd616f14baa538d889d35f73a160953e6e47868b,1619727131,authorize,0x76373ae643cbe3543875abccdf37185c485a1838,0x4e15361fd6b4bb609fa63c81a2be19d873717870,0.0,0.0,6.265320772500001,17341.872411861856,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0x8542057acae6adbba074f3f6b36315e42c67ab35924796a4dff6036d17614df2,1619726849,receive,0x28c6c06298d514db089934071355e5743bf21d60,0x4e15361fd6b4bb609fa63c81a2be19d873717870,975.8031128958139,0.0,,17342.863689024794,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0x3172b24892c6ee72ffea150b5d0997bc384e600fa7194fbe671887385bdc97e5,1619725473,send,0x76373ae643cbe3543875abccdf37185c485a1838,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,29.784796944,7.018819043999999,17347.700559153163,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0x0101279981538eb26202fb1eb3d706255e3c21e08407690b4094efa0fca2fc4a,1618964061,send,0x76373ae643cbe3543875abccdf37185c485a1838,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,38371.79877344048,15.24306144306,54282.56407891135,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0x304044012e3698a23b75becd9ae3e3cae14362d1e8eca330cfa464258e6cd856,1618963791,send,0x76373ae643cbe3543875abccdf37185c485a1838,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,10.194277320000001,26.22627659871,54401.04808561748,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0x4c864bf98360d12cba2d2f8eefcc54efd609b42732c99d6022402b83361f5b02,1618876944,trade,0x76373ae643cbe3543875abccdf37185c485a1838,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,10589.972215072195,11009.251798475016,77.74744070016,54539.93759300175,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0xbd74d55dd9e272bde8c3a5c6f8414cf43b3cd4f09ad9c18f7511167ce0af14c1,1618876903,authorize,0x76373ae643cbe3543875abccdf37185c485a1838,0xfc979087305a826c2b2a0056cfaba50aad3e6439,0.0,0.0,27.31820590464,54539.88033540164,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0xa262ce94d4ee63e2153ff67eb59861238a6e17057de19fb0107f9c08a829326b,1618874908,trade,0x76373ae643cbe3543875abccdf37185c485a1838,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,27082.32429165079,27924.09174,81.14668484112,54644.786910105235,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0x04165eadfa428fdb31aeafab284d581eac4e802b413e504c44149847c25a6fa5,1618874854,authorize,0x76373ae643cbe3543875abccdf37185c485a1838,0xf0939011a9bb95c3b791f0cb546377ed2693a574,0.0,0.0,26.465467823460003,54647.78517781994,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0x0ab7c528911d12d2c8c9729208eeabf1178436c60d2eec14189a60a6ec8bee65,1618341531,receive,0xf4f1f0e3bb56822d8316473261170b365496668e,0xa5025faba6e70b84f74e9b1113e5f7f4e7f4859f,496.05870538944004,0.0,,60095.101679436586,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0xc39d79b57f7d926b63d0d1a0689f6b247d75bc7d4f4ff4594bb759d1864186a2,1618214383,trade,0x76373ae643cbe3543875abccdf37185c485a1838,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,594.8510643465601,607.1531343059879,31.776756264000003,62434.14949123217,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0x1bc2052087bf4ca30e61fbee4bf2d138f5ba7bc41a8de7d310bd51726140da8f,1618214342,authorize,0x76373ae643cbe3543875abccdf37185c485a1838,0x68a118ef45063051eac49c7e647ce5ace48a68a5,0.0,0.0,11.03146529958,62434.83336950906,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0x4bc5c72061dbb5476e00beba56faa5c836f0eab00b830b1b3d96b5bf87d6b5e4,1616534021,trade,0x76373ae643cbe3543875abccdf37185c485a1838,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,13221.434308804714,13855.542563982292,45.126321595200004,49198.750224197516,bottom
0x76373ae643cbe3543875abccdf37185c485a1838,0x64854ab138664c6df099629063f5b2ff730170a2df304e73c678a9ec4a90c1fe,1616533807,receive,0x9eaef3ba7fce443fc83e16875b89d4cac730e3ad,0xdac17f958d2ee523a2206206994597c13d831ec7,12699.141039913064,0.0,,49166.04351492885,bottom
